MORPH	POS	pred_TAG
남자	NNG	B-POH
대학	NNG	I-POH
대표	NNG	O
팀	NNG	O
이	JKS	O
_	_	O
하계	NNG	O
유니버시아드	NNG	O
_	_	O
대회	NNG	O
에서	JKB	O
_	_	O
강호	NNG	O
_	_	O
브라질	NNP	B-ORG
과	JC	O
_	_	O
예선	NNG	O
에서	JKB	O
_	_	O
맞붙	VV	O
는다	EF	O
.	SF	O
		
파우	NNG	B-PER
_	_	O
가솔	NNG	B-PER
은	JX	O
_	_	O
21	SN	B-NOH
점	NNB	I-NOH
_	_	O
7	SN	B-NOH
리바운드	NNG	I-NOH
_	_	O
4	SN	B-NOH
블록	NNG	I-NOH
슛	NNG	O
으로	JKB	O
_	_	O
활약+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
[	SS	B-POH
아시안	NNG	I-POH
컵	NNG	O
에서	JKB	O
_	_	O
플레이	NNG	O
를	JKO	O
_	_	O
하	VV	O
는	ETM	O
_	_	O
한국	NNP	B-ORG
대표	NNG	O
팀	NNG	O
_	_	O
.	SF	O
		
오승환	NNP	B-PER
의	JKG	O
_	_	O
체력	NNG	O
_	_	O
.	SF	O
		
프랑스	NNP	B-ORG
_	_	O
리그	NNG	O
_	_	O
4	SN	B-NOH
연패	NNG	I-NOH
에	JKB	O
_	_	O
빛나	VV	O
는	ETM	O
_	_	O
올림	NNG	O
피크	NNG	O
_	_	O
리옹	NNP	B-ORG
이	JKS	O
_	_	O
성남	NNP	B-ORG
_	_	O
일화	NNP	O
를	JKO	O
_	_	O
꺾	VV	O
고	EC	O
_	_	O
조	NNG	O
_	_	O
선두	NNG	O
로	JKB	O
_	_	O
올라서+었	VV+EP	O
다	EF	O
.	SF	O
		
한국	NNP	B-ORG
은	JX	O
_	_	O
호주	NNP	B-ORG
(	SS	O
3	SN	B-NOH
승	NNB	I-NOH
4	SN	I-NOH
패	NNB	I-NOH
)	SS	O
를	JKO	O
_	_	O
제치	VV	O
고	EC	O
_	_	O
아시아	NNP	O
_	_	O
5	SN	B-NOH
개	NNB	I-NOH
팀	NNG	O
_	_	O
가운데	NNG	O
_	_	O
2	SN	B-NOH
위	NNB	I-NOH
를	JKO	O
_	_	O
기록+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
배상문	NNP	B-PER
(	SS	O
22	SN	B-NOH
_	_	O
ㆍ	SP	O
_	_	O
캘러웨이	NNP	B-ORG
)	SS	O
은	JX	O
_	_	O
공동	NNG	O
_	_	O
15	SN	B-NOH
위	NNB	I-NOH
(	SS	O
3	SN	B-NOH
언더	NNG	I-NOH
파	NNG	O
_	_	O
210	SN	B-NOH
타	NNG	I-NOH
)	SS	O
에	JKB	O
_	_	O
그치+어	VV+EC	O
_	_	O
개막	NNG	O
_	_	O
2	SN	B-NOH
연승	NNG	I-NOH
이	JKS	O
_	_	O
어렵	VA	O
게	EC	O
_	_	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
LIG	SL	B-ORG
손해보험	NNG	O
과	JC	O
_	_	O
한국도로공사	NNP	B-ORG
가	JKS	O
_	_	O
기업은행	NNP	B-ORG
배	NNG	O
_	_	O
양산	NNG	O
프로	NNG	O
배구	NNG	O
에서	JKB	O
_	_	O
나란히	MAG	O
_	_	O
첫	MM	O
_	_	O
승	NNG	O
을	JKO	O
_	_	O
올리	VV	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
한국	NNP	B-ORG
_	_	O
스포츠	NNG	O
계	XSN	O
의	JKG	O
_	_	O
어둡	VA	O
ㄴ	ETM	O
_	_	O
단면	NNG	O
이	JKS	O
_	_	O
다시	MAG	O
_	_	O
한	MM	O
번	NNB	O
_	_	O
여실히	MAG	O
_	_	O
드러나+았	VV+EP	O
다	EC	O
_	_	O
.	SF	O
		
석명준	NNP	B-PER
(	SS	O
LG	SL	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
3	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
1	SN	B-NOH
억	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
2000	SN	B-NOH
만	NR	I-NOH
원	NNB	O
)	SS	O
이중원	NNP	B-PER
(	SS	O
KCC	SL	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
4	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
5000	SN	B-NOH
만	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
2000	SN	B-NOH
만	NR	I-NOH
원	NNB	O
)	SS	O
김기만	NNP	B-PER
(	SS	O
SK	SL	O
)	SS	O
_	_	O
-	SO	O
_	_	O
4	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
1	SN	B-NOH
억	NR	I-NOH
3200	SN	I-NOH
만	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
800	SN	B-NOH
만	NR	I-NOH
원	NNB	I-NOH
)	SS	O
김종학	NNP	B-PER
(	SS	O
SK	SL	O
)	SS	O
_	_	O
-	SO	O
_	_	O
4	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
8500	SN	B-NOH
만	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
500	SN	B-NOH
만	NR	I-NOH
원	NNB	O
)	SS	O
김병철	NNP	B-PER
(	SS	O
오리온스	NNP	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
2	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
2	SN	B-NOH
억	NR	I-NOH
2000	SN	I-NOH
만	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
2000	SN	B-NOH
만	NR	I-NOH
원	NNB	I-NOH
)	SS	O
이현준	NNP	B-PER
(	SS	O
오리온스	NNP	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
5	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
1	SN	B-NOH
억	NR	I-NOH
3000	SN	I-NOH
만	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
2000	SN	B-NOH
만	NR	I-NOH
원	NNB	I-NOH
)	SS	O
오용준	NNP	B-PER
(	SS	O
오리온스	NNP	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
3	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
1	SN	B-NOH
억	NR	I-NOH
7000	SN	I-NOH
만	NR	I-NOH
원	NNB	O
이창수	NNP	B-PER
(	SS	O
모비스	NNP	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
1	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
1	SN	B-NOH
억	NR	I-NOH
1000	SN	I-NOH
만	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
1500	SN	B-NOH
만	NR	I-NOH
원	NNB	O
)	SS	O
우지원	NNP	B-PER
(	SS	O
모비스	NNP	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
2	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
2	SN	B-NOH
억	NR	I-NOH
1000	SN	I-NOH
만	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
3000	SN	B-NOH
만	NR	I-NOH
원	NNB	O
)	SS	O
강우형	NNP	B-PER
(	SS	O
모비스	NNP	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
1	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
3500	SN	B-NOH
만	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
500	SN	B-NOH
만	NR	I-NOH
원	NNB	O
)	SS	O
변청운	NNP	B-PER
(	SS	O
동부	NNG	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
2	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
8500	SN	B-NOH
만	NR	I-NOH
원	NNB	O
김진호	NNP	O
(	SS	O
동부	NNG	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
3	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
6000	SN	B-NOH
만	NR	I-NOH
원	NNB	O
임영훈	NNP	B-PER
(	SS	O
KTF	SL	B-ORG
)	SS	O
_	_	O
-	SO	O
_	_	O
3	SN	B-NOH
년	NNB	I-NOH
간	XSN	O
_	_	O
평균	NNG	O
연봉	NNG	O
_	_	O
7500	SN	B-NOH
만	NR	I-NOH
원	NNB	O
_	_	O
(	SS	O
인센티브	NNG	O
_	_	O
500	SN	B-NOH
만	NR	I-NOH
원	NNB	I-NOH
)	SS	O
[	SS	O
모비스	NNP	O
_	_	O
우지원	NNP	O
_	_	O
.	SF	O
		
한편	MAG	O
_	_	O
사퇴	NNG	O
의사	NNG	O
를	JKO	O
_	_	O
밝히+ㄴ	VV+ETM	O
_	_	O
루벤	NNP	B-PER
_	_	O
아코스타	NNP	B-PER
(	SS	O
멕시코	NNP	B-ORG
)	SS	O
_	_	O
회장	NNG	O
의	JKG	O
_	_	O
후임	NNG	O
으로	JKB	O
_	_	O
중국	NNP	B-ORG
의	JKG	O
_	_	O
웨이	NNG	O
지중	NNG	O
_	_	O
부회장	NNG	O
이	JKS	O
_	_	O
2012	SN	B-NOH
년	NNB	I-NOH
까지	JX	O
_	_	O
회장	NNG	O
직	NNG	O
을	JKO	O
_	_	O
맡	VV	O
기	ETN	O
로	JKB	O
_	_	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
여자	NNG	O
농구	NNG	O
를	JKO	O
_	_	O
아끼	VV	O
는	ETM	O
_	_	O
팬	NNG	O
들	XSN	O
은	JX	O
_	_	O
국내	NNG	O
_	_	O
코트	NNG	O
에서	JKB	O
_	_	O
전천후	NNG	O
_	_	O
용병	NNG	O
급	NNG	O
_	_	O
기량	NNG	O
을	JKO	O
_	_	O
과시	NNG	O
하	XSV	O
며	EC	O
_	_	O
호령	NNG	O
하	XSV	O
는	ETM	O
_	_	O
그	NP	O
의	JKG	O
_	_	O
위세	NNG	O
를	JKO	O
_	_	O
베이징	NNP	B-ORG
_	_	O
코트	NNG	O
에서	JKB	O
_	_	O
기대	NNG	O
하	XSV	O
고	EC	O
_	_	O
있	VX	O
을	ETM	O
_	_	O
것	NNB	O
이	VCP	O
다	EC	O
_	_	O
．	SF	O
		
샌안토니오	NNP	B-ORG
는	JX	O
_	_	O
종료	NNG	O
_	_	O
42.1	SN	B-NOH
초	NNB	I-NOH
전	NNG	O
_	_	O
지노빌리	NNP	B-PER
의	JKG	O
_	_	O
3	SN	B-NOH
점	NNB	I-NOH
포	NNG	O
로	JKB	O
_	_	O
89	SN	B-NOH
-	SO	I-NOH
93	SN	I-NOH
으로	JKB	O
_	_	O
추격+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
황인춘	NNP	B-PER
은	JX	O
_	_	O
잇	VV	O
어	EC	O
_	_	O
SS	O	O
매경	NNP	O
오픈	NNG	O
_	_	O
우승	NNG	O
_	_	O
이후	NNG	O
_	_	O
상금	NNG	O
왕	XSN	O
에	JKB	O
_	_	O
도전	NNG	O
하+여	XSV+EC	O
보	VX	O
겠	EP	O
다는	ETM	O
_	_	O
생각	NNG	O
을	JKO	O
_	_	O
였	EP	O
는데	EC	O
_	_	O
이번	NNG	O
_	_	O
우승	NNG	O
으로	JKB	O
_	_	O
더욱	MAG	O
_	_	O
욕심	NNG	O
이	JKS	O
_	_	O
생기	VV	O
었	EP	O
다	EF	O
SS	O	O
고	JKQ	O
_	_	O
덧붙이	VV	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
이날	NNG	O
_	_	O
행사	NNG	O
에	JKB	O
는	JX	O
_	_	O
박	NNP	B-PER
_	_	O
감독	NNG	O
이	JKS	O
_	_	O
감독	NNG	O
의	JKG	O
_	_	O
입장	NNG	O
에서	JKB	O
_	_	O
기획	NNG	O
의도	NNG	O
_	_	O
등	NNB	O
을	JKO	O
_	_	O
전	NNG	O
하	XSV	O
며	EC	O
_	_	O
추첨	NNG	O
을	JKO	O
_	_	O
통하+여	VV+EC	O
_	_	O
박	NNP	B-PER
_	_	O
감독	NNG	O
이	JKS	O
_	_	O
사인	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
포스터	NNG	O
와	JC	O
_	_	O
오리지널	NNG	O
사운드	NNG	O
트랙	NNG	O
_	_	O
등	NNB	O
의	JKG	O
_	_	O
선물	NNG	O
도	JX	O
_	_	O
주+ㄹ	VV+ETM	O
_	_	O
예정	NNG	O
이	VCP	O
다	EF	O
.	SF	O
		
197	SN	B-NOH
cm	SL	O
의	JKG	O
_	_	O
문성민	NNP	B-PER
은	JX	O
_	_	O
뛰어나+ㄴ	VA+ETM	O
_	_	O
탄력	NNG	O
과	JC	O
_	_	O
강	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
스파이크	NNG	O
를	JKO	O
_	_	O
자랑	NNG	O
하	XSV	O
지만	EC	O
_	_	O
그동안	NNG	O
_	_	O
리시브	NNG	O
가	JKS	O
_	_	O
약	NNG	O
하+여	XSA+EC	O
_	_	O
고생+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
4	SN	B-NOH
차	NNB	I-NOH
전	XSN	I-NOH
_	_	O
도중	NNG	O
_	_	O
알+ㄹ	VV+ETM	O
_	_	O
호포드	NNG	O
에게	JKB	O
_	_	O
위협적	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
동작	NNG	O
을	JKO	O
_	_	O
취	NNG	O
하+여	XSV+EC	O
_	_	O
2	SN	B-NOH
만	NR	I-NOH
5000	SN	I-NOH
달러	NNB	I-NOH
의	JKG	O
_	_	O
벌금	NNG	O
을	JKO	O
_	_	O
물	VV	O
게	EC	O
되+ㄴ	VV+ETM	O
_	_	O
폴	NNP	B-ORG
_	_	O
피어스	NNP	B-PER
는	JX	O
_	_	O
이날	NNG	O
_	_	O
22	SN	B-NOH
점	NNB	I-NOH
_	_	O
7	SN	B-NOH
리바운드	NNG	I-NOH
_	_	O
6	SN	B-NOH
어시스트	NNG	I-NOH
로	JKB	O
_	_	O
활약+하	NNG+XSV	O
였	EP	O
고	EC	O
_	_	O
케빈	NNP	B-PER
_	_	O
가넷	NNP	B-PER
은	JX	O
_	_	O
20	SN	B-NOH
점	NNB	I-NOH
_	_	O
7	SN	B-NOH
어시스트	NNG	I-NOH
_	_	O
5	SN	B-NOH
리바운드	NNG	I-NOH
를	JKO	O
_	_	O
올리	VV	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
위기	NNG	O
의	JKG	O
_	_	O
한국	NNP	B-ORG
_	_	O
배구	NNG	O
,	SP	O
_	_	O
스포츠	NNG	O
_	_	O
외교	NNG	O
도	JX	O
_	_	O
빨간불	NNG	O
		
▶	SW	O
_	_	O
조수미	NNP	B-PER
,	SP	O
_	_	O
북경	NNP	B-ORG
_	_	O
하늘	NNG	O
_	_	O
울리+ㄴ다	VV+EC	O
‥	SW	O
'	SS	O
세계	NNG	O
_	_	O
3	SN	B-NOH
대	NNB	I-NOH
_	_	O
쇼프라노	NNG	O
_	_	O
선정	NNG	O
'	SS	O
_	_	O
초대	NNG	O
		
양	MM	O
_	_	O
팀	NNG	O
_	_	O
합치+어	VV+EC	O
_	_	O
80	SN	B-NOH
점	NNB	I-NOH
이나	JC	O
_	_	O
나	NP	O
는	JX	O
_	_	O
대접전	NNG	O
_	_	O
속	NNG	O
에서	JKB	O
_	_	O
안	NNG	O
젤	NNG	O
코	NNG	O
는	JX	O
_	_	O
3	SN	B-NOH
세트	NNG	I-NOH
에	JKB	O
만	JX	O
_	_	O
공격	NNG	O
_	_	O
성공률	NNG	O
_	_	O
50	SN	B-NOH
%	SW	I-NOH
에	JKB	O
_	_	O
이르	VV	O
는	ETM	O
_	_	O
높	VA	O
은	ETM	O
_	_	O
결정력	NNG	O
을	JKO	O
_	_	O
앞세우	VV	O
어	EC	O
_	_	O
14	SN	B-NOH
득점	NNG	I-NOH
을	JKO	O
_	_	O
올리+어	VV+EC	O
_	_	O
삼성화재	NNP	B-ORG
를	JKO	O
_	_	O
수렁	NNG	O
에서	JKB	O
_	_	O
건지	VV	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
잇	VV	O
어	EC	O
_	_	O
2002	SN	B-DAT
년	NNB	I-DAT
_	_	O
삼성	NNP	B-ORG
으로	JKB	O
_	_	O
옮기+ㄴ	VV+ETM	O
_	_	O
뒤	NNG	O
_	_	O
2003	SN	B-DAT
년	NNB	I-DAT
_	_	O
상무	NNP	B-ORG
에서	JKB	O
_	_	O
입대+하	NNG+XSV	O
였	EP	O
고	EC	O
_	_	O
올	NNG	O
_	_	O
3	SN	B-DAT
월	NNB	I-DAT
_	_	O
26	SN	B-DAT
일	NNB	I-DAT
_	_	O
전역+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
NBA	SL	B-ORG
_	_	O
연봉	NNG	O
제도	NNG	O
의	JKG	O
_	_	O
특징	NNG	O
_	_	O
-	SO	O
_	_	O
소프트	NNG	O
캡	NNG	O
과	JC	O
_	_	O
사치세	NNG	O
_	_	O
NBA	SL	O
와	JC	O
_	_	O
KBL	SL	B-ORG
은	JX	O
_	_	O
샐러리	NNG	O
캡	NNG	O
(	SS	O
구단	NNG	O
연봉	NNG	O
상한선	NNG	O
)	SS	O
_	_	O
제도	NNG	O
에서	JKB	O
_	_	O
크+ㄴ	VA+ETM	O
_	_	O
차이	NNG	O
가	JKS	O
_	_	O
있	VA	O
다	EC	O
_	_	O
.	SF	O
		
문성민	NNP	B-PER
에	JKB	O
_	_	O
대	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
소개	NNG	O
가	JKS	O
_	_	O
끝나+ㄴ	VV+ETM	O
_	_	O
뒤	NNG	O
_	_	O
마련	NNG	O
되+ㄴ	XSV+ETM	O
_	_	O
질의	NNG	O
_	_	O
응답	NNG	O
시간	NNG	O
에서	JKB	O
는	JX	O
_	_	O
문성민	NNP	B-PER
에	JKB	O
_	_	O
대	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
높	VA	O
은	ETM	O
_	_	O
관심	NNG	O
이	JKS	O
_	_	O
그대로	MAG	O
_	_	O
나타나+았	VV+EP	O
다	EC	O
_	_	O
.	SF	O
		
정영삼	NNP	B-PER
은	JX	O
_	_	O
캐나다	NNP	B-ORG
전	XSN	O
_	_	O
뛰어나+ㄴ	VA+ETM	O
_	_	O
활약	NNG	O
을	JKO	O
_	_	O
펼치	VV	O
고도	EC	O
_	_	O
승부	NNG	O
에	JKB	O
_	_	O
결정적	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
자유투	NNG	O
_	_	O
2	SN	B-NOH
개	NNB	I-NOH
를	JKO	O
_	_	O
놓치	VV	O
었	EP	O
던	ETM	O
_	_	O
심정	NNG	O
은	JX	O
_	_	O
어떻	VA	O
었	EP	O
을까	EC	O
_	_	O
.	SF	O
		
세계	NNG	O
_	_	O
랭킹	NNG	O
_	_	O
7	SN	B-NOH
위	NNB	I-NOH
이+ㄴ	VCP+ETM	O
_	_	O
한국	NNP	B-ORG
은	JX	O
_	_	O
4	SN	B-NOH
위	NNB	I-NOH
이+ㄴ	VCP+ETM	O
_	_	O
브라질	NNP	B-ORG
과	JC	O
_	_	O
첫	MM	O
_	_	O
경기+이	NNG+VCP	O
라서	EC	O
_	_	O
부담스럽	VA	O
ㄴ	ETM	O
_	_	O
것	NNB	O
이	JKS	O
